Seed,Tm,W,L,T,W-L%,SRS,Why,Reason
1,Dallas Cowboys,13,3,0,.813,6.97,East Champion,
2,Atlanta Falcons,11,5,0,.688,8.48,South Champion,
3,Seattle Seahawks,10,5,1,.656,2.13,West Champion,
4,Green Bay Packers,10,6,0,.625,2.83,North Champion,
5,New York Giants,11,5,0,.688,2.13,Wild Card #1,
6,Detroit Lions,9,7,0,.563,-1.40,Wild Card #2,win percentage in common games over Tampa Bay Buccaneers
,Tampa Bay Buccaneers,9,7,0,.563,-0.19,,
,Washington Redskins,8,7,1,.531,1.97,,
,Minnesota Vikings,8,8,0,.500,0.94,,
,Arizona Cardinals,7,8,1,.469,1.59,,
,New Orleans Saints,7,9,0,.438,1.54,,conference win percentage over Philadelphia Eagles
,Philadelphia Eagles,7,9,0,.438,3.80,,
,Carolina Panthers,6,10,0,.375,-1.00,,
,Los Angeles Rams,4,12,0,.250,-11.09,,
,Chicago Bears,3,13,0,.188,-7.50,,
,San Francisco 49ers,2,14,0,.125,-11.21,,
